Country,Began,Ended,Duration in Days,Dead,Displaced,Main cause,Severity *,Affected sq km,Magnitude (M)**,Longitude of Centroid X,Latitude of Centroid Y
China,03-Oct-05,06-Oct-05,4,16,359000,Heavy rain,1,12375.93,4.694637836,109.084,34.5073
China,02-Oct-05,06-Oct-05,5,95,0,Tropical cyclone,1,13902.97,4.842077590,119.21,25.9561
El Salvador,01-Oct-05,16-Oct-05,16,2000,250000,Tropical cyclone,2,211256.78,6.829960634,-89.5951,13.9797
China,29-Sep-05,06-Oct-05,8,2,24000,Heavy rain,1,29516.96,5.373161614,109.423,32.8686
Mauritania,27-Sep-05,07-Oct-05,11,0,3000,Heavy rain,2,147088.34,6.510000927,-11.9832,17.0464
Canada,27-Sep-05,29-Sep-05,3,0,200,Heavy rain,1,332.483,2.998890699,-58.4653,48.5713
Mexico,26-Sep-05,29-Sep-05,4,3,3000,Heavy rain,1,62548.04,5.398273697,-93.2683,15.9783
Nigeria,26-Sep-05,29-Sep-05,4,0,1500,Heavy rain,1,11553.11,4.664758900,10.4374,12.5706
Sudan,29-Aug-05,06-Sep-05,9,5,9000,Heavy rain,1,40658.76,5.563396639,37.373,18.9643
Nepal,25-Sep-05,02-Oct-05,8,51,1600,Monsoonal rain,1,8032.65,4.807948831,80.5476,29.2938
China,26-Sep-05,06-Oct-05,11,104,470000,Tropical cyclone,2,491950.15,7.034343778,110.083,19.2402
USA,23-Sep-05,01-Oct-05,9,0,0,Tropical cyclone,1,33402.88,5.478026423,-92.9979,29.9816
India,22-Sep-05,11-Oct-05,20,15,0,Heavy rain,1,53194.83,6.026899421,73.4733,21.7139
Romania,21-Sep-05,09-Oct-05,19,10,0,Heavy rain,1,29372.7,5.746697471,27.3833,44.5848
Vietnam,18-Sep-05,24-Sep-05,7,8,8500,Tropical cyclone,1,10778.8,4.877668454,105.55,18.7601
India,16-Sep-05,05-Oct-05,20,23,0,Monsoonal rain,1,308728.72,6.790607028,79.3734,28.1973
